cluster_label,violence_rate_per_1000_annual,deprived_2plus_pct,log_population_density,social_rented_pct,private_rented_pct,population_2021,lsoa_n
C1,168.54,17.61,8.63,22.84,46.53,1753.68,79
C2,31.04,27.78,9.32,46.5,23.15,1802.15,1437
C3,25.31,17.15,9.35,15.84,41.21,1801.0,1903
C4,15.48,13.46,8.36,8.87,18.84,1679.84,1569
